tractGEOID,allProperties,incomeProperties
06037101110,0.003854821896479296,0.03676454429984751
06037101122,0.0007854799383269132,0.051111111111111114
06037101210,0.012655784117852384,0.021167127402545782
06037101220,0.00716824933041138,0.03361099541857562
06037101300,0.0006760814438349623,0.03433162892622352
06037101400,0.003102575624065088,0.11254004983980065
06037102103,0.020632829835088573,0.29587112800632315
06037102104,0.0007930315624234611,
06037102105,0.0060524774989446925,0.047582367564160864
06037102107,0.0010344850056692883,0.03359312012899757
06037103101,0.0010854151713030147,0.20000000000000004
06037103102,0.0031989817174785627,0.5110775047258974
06037103200,0.012554786620531189,0.18501511722705827
06037103300,0.0008246714395237098,0.025641025641025623
06037103400,0.0026944992329608975,0.03925635566763828
06037104103,0.0012478364126715601,
06037104105,0.1022104752982086,0.6484844784957724
06037104108,0.04797695818216977,0.20739278539610445
06037104124,0.000900438114807355,0.08650519031141869
06037104201,0.0016699539776462763,0.3136094674556213
06037104203,0.01644132393324192,0.2733334749092144
06037104204,0.062314143472885816,1.0
06037104310,0.0014321281424196568,0.12396694214876033
06037104320,0.0016932441700960065,0.04956994114984156
06037104401,0.0021840000000000223,0.038750000000000014
06037104403,0.003227432362122783,0.04190695886197617
06037104404,0.0038958710287381538,0.07621671258034889
06037104500,0.002968255936511854,0.09202831640504769
06037104610,0.0025866702499328076,0.024687685901249243
06037104620,0.0018604302713231356,0.06790123456790123
06037104701,0.011719896845863925,0.12294663809815325
06037104703,0.05558185404339237,0.17086776859504132
06037104704,0.00522608657515023,0.2727931409250091
06037104810,0.0010743277155810648,0.03777777777777778
06037104821,0.0379889754077235,0.2345517466985762
06037104822,0.03978232313754929,0.17272281733529368
06037106010,0.012238243402730822,0.8719274376417234
06037106020,0.0007891310696894676,0.1124260355029586
06037106111,0.0009810462580349141,
06037106112,0.0007726515369146722,0.18367346938775508
06037106113,0.0010726251725771793,0.28
06037106114,0.01074422115785091,0.08566337671412354
06037106403,0.0013030954602620808,0.11111111111111112
06037106405,0.00971190672721538,0.16029219530949632
06037106406,0.0019458822229180765,0.14256656804733725
06037106407,0.03750290358486988,0.1537768121301775
